2020/05/08 03:01:33 customer_id=10000070 running_id=1033065 kind=283 resultStatus=0
2020/05/08 12:18:22 customer_id=10000099 running_id=1033057 kind=026 resultStatus=0
2020/05/08 12:18:22 customer_id=10000099 running_id=1033057 kind=283 resultStatus=0
2020/05/08 12:18:22 customer_id=10000099 running_id=1033058 kind=283 resultStatus=0
2020/05/08 12:34:20 customer_id=10000097 running_id=1033062 kind=116 resultStatus=0
2020/05/08 12:34:20 customer_id=10000097 running_id=1033062 kind=283 resultStatus=0
2020/05/08 12:34:26 customer_id=10000097 running_id=1033055 kind=116 resultStatus=0
2020/05/08 12:34:26 customer_id=10000097 running_id=1033055 kind=283 resultStatus=0
2020/05/08 14:53:47 customer_id=10000096 running_id=1033071 kind=116 resultStatus=0
2020/05/08 14:53:47 customer_id=10000096 running_id=1033071 kind=283 resultStatus=0
2020/05/08 14:53:54 customer_id=10000096 running_id=1033072 kind=116 resultStatus=0
2020/05/08 14:53:54 customer_id=10000096 running_id=1033072 kind=283 resultStatus=0
2020/05/08 14:54:01 customer_id=10000096 running_id=1033073 kind=116 resultStatus=0
2020/05/08 14:54:01 customer_id=10000096 running_id=1033073 kind=283 resultStatus=0
2020/05/09 21:18:50 customer_id=10000070 running_id=1033066 kind=116 resultStatus=0
2020/05/09 21:18:50 customer_id=10000070 running_id=1033066 kind=283 resultStatus=0
2020/05/11 10:50:50 customer_id=10000112 running_id=1033085 kind=026 resultStatus=0
2020/05/11 10:50:50 customer_id=10000112 running_id=1033085 kind=283 resultStatus=0
2020/05/11 12:41:53 customer_id=10000107 running_id=1033089 kind=116 resultStatus=0
2020/05/11 12:41:53 customer_id=10000107 running_id=1033089 kind=283 resultStatus=0
2020/05/11 14:02:59 customer_id=10000116 running_id=1033094 kind=116 resultStatus=0
2020/05/11 14:02:59 customer_id=10000116 running_id=1033094 kind=283 resultStatus=0
2020/05/13 16:52:49 customer_id=10000116 running_id=1033096 kind=116 resultStatus=0
2020/05/13 16:52:49 customer_id=10000116 running_id=1033096 kind=283 resultStatus=0
2020/05/14 14:38:00 customer_id=10000070 running_id=1033078 kind=116 resultStatus=0
2020/05/14 14:38:00 customer_id=10000070 running_id=1033078 kind=283 resultStatus=0
2020/05/14 23:33:00 customer_id=10000070 running_id=1033131 kind=116 resultStatus=0
2020/05/14 23:33:01 customer_id=10000070 running_id=1033131 kind=283 resultStatus=0
2020/05/19 04:03:09 customer_id=10000003 running_id= kind=026 resultStatus=1
2020/05/19 04:10:37 customer_id=10000003 running_id= kind=026 resultStatus=1
2020/05/19 04:10:43 customer_id=10000003 running_id= kind=026 resultStatus=1
2020/05/20 13:04:04 customer_id=10000003 running_id= kind=026 resultStatus=1
2020/05/20 13:04:25 customer_id=10000003 running_id= kind=026 resultStatus=1
2020/05/20 13:20:06 customer_id=10000005 running_id=2665936 kind=026 resultStatus=0
2020/05/20 13:20:06 customer_id=10000005 running_id=2665936 kind=283 resultStatus=0
2020/05/20 15:16:43 customer_id=10000009 running_id=2666028 kind=026 resultStatus=0
2020/05/20 15:16:43 customer_id=10000009 running_id=2666028 kind=283 resultStatus=0
2020/05/20 15:26:29 customer_id=10000010 running_id=2666029 kind=026 resultStatus=0
2020/05/20 15:26:29 customer_id=10000010 running_id=2666029 kind=283 resultStatus=1
2020/05/21 14:02:19 customer_id=10000014 running_id=2666522 kind=026 resultStatus=0
2020/05/21 14:02:19 customer_id=10000014 running_id=2666522 kind=283 resultStatus=0
2020/05/21 14:58:31 customer_id=10000032 running_id=2666633 kind=026 resultStatus=0
2020/05/21 14:58:32 customer_id=10000032 running_id=2666633 kind=283 resultStatus=0
2020/05/21 15:02:50 customer_id=10000028 running_id=2666598 kind=026 resultStatus=0
2020/05/21 15:02:50 customer_id=10000028 running_id=2666598 kind=283 resultStatus=0
2020/05/21 15:08:03 customer_id=10000023 running_id=2666551 kind=026 resultStatus=0
2020/05/21 15:08:03 customer_id=10000023 running_id=2666551 kind=283 resultStatus=0
2020/05/21 15:29:02 customer_id=10000025 running_id=2666582 kind=026 resultStatus=0
2020/05/21 15:29:02 customer_id=10000025 running_id=2666582 kind=283 resultStatus=0
2020/05/21 15:38:08 customer_id=10000035 running_id=2666722 kind=026 resultStatus=0
2020/05/21 15:38:08 customer_id=10000035 running_id=2666722 kind=283 resultStatus=0
